observation_date,UnemploymentRate,Metro
2015-01-01,4.8,Cincinnati
2015-01-01,5.5,Cleveland
2015-01-01,4.4,Columbus
2015-01-01,5.2,Ohio
2015-01-01,5.7,United States
2015-02-01,4.8,Cincinnati
2015-02-01,5.5,Cleveland
2015-02-01,4.4,Columbus
2015-02-01,5.2,Ohio
2015-02-01,5.5,United States
2015-03-01,4.7,Cincinnati
2015-03-01,5.4,Cleveland
2015-03-01,4.3,Columbus
2015-03-01,5.1,Ohio
2015-03-01,5.4,United States
2015-04-01,4.6,Cincinnati
2015-04-01,5.3,Cleveland
2015-04-01,4.2,Columbus
2015-04-01,5.1,Ohio
2015-04-01,5.4,United States
2015-05-01,4.5,Cincinnati
2015-05-01,5.2,Cleveland
2015-05-01,4.2,Columbus
2015-05-01,5,Ohio
2015-05-01,5.6,United States
2015-06-01,4.4,Cincinnati
2015-06-01,5.1,Cleveland
2015-06-01,4.1,Columbus
2015-06-01,4.9,Ohio
2015-06-01,5.3,United States
2015-07-01,4.4,Cincinnati
2015-07-01,4.9,Cleveland
2015-07-01,4.1,Columbus
2015-07-01,4.8,Ohio
2015-07-01,5.2,United States
2015-08-01,4.4,Cincinnati
2015-08-01,4.8,Cleveland
2015-08-01,4.1,Columbus
2015-08-01,4.8,Ohio
2015-08-01,5.1,United States
2015-09-01,4.4,Cincinnati
2015-09-01,4.7,Cleveland
2015-09-01,4.1,Columbus
2015-09-01,4.8,Ohio
2015-09-01,5,United States
2015-10-01,4.4,Cincinnati
2015-10-01,4.6,Cleveland
2015-10-01,4.2,Columbus
2015-10-01,4.8,Ohio
2015-10-01,5,United States
2015-11-01,4.5,Cincinnati
2015-11-01,4.7,Cleveland
2015-11-01,4.2,Columbus
2015-11-01,4.9,Ohio
2015-11-01,5.1,United States
2015-12-01,4.5,Cincinnati
2015-12-01,4.8,Cleveland
2015-12-01,4.3,Columbus
2015-12-01,4.9,Ohio
2015-12-01,5,United States
2016-01-01,4.5,Cincinnati
2016-01-01,4.9,Cleveland
2016-01-01,4.3,Columbus
2016-01-01,5,Ohio
2016-01-01,4.8,United States
2016-02-01,4.5,Cincinnati
2016-02-01,5,Cleveland
2016-02-01,4.2,Columbus
2016-02-01,5,Ohio
2016-02-01,4.9,United States
2016-03-01,4.4,Cincinnati
2016-03-01,5.1,Cleveland
2016-03-01,4.2,Columbus
2016-03-01,5,Ohio
2016-03-01,5,United States
2016-04-01,4.3,Cincinnati
2016-04-01,5.1,Cleveland
2016-04-01,4.1,Columbus
2016-04-01,5,Ohio
2016-04-01,5.1,United States
2016-05-01,4.3,Cincinnati
2016-05-01,5.2,Cleveland
2016-05-01,4.1,Columbus
2016-05-01,5,Ohio
2016-05-01,4.8,United States
2016-06-01,4.2,Cincinnati
2016-06-01,5.3,Cleveland
2016-06-01,4.1,Columbus
2016-06-01,5,Ohio
2016-06-01,4.9,United States
2016-07-01,4.3,Cincinnati
2016-07-01,5.4,Cleveland
2016-07-01,4.1,Columbus
2016-07-01,5,Ohio
2016-07-01,4.8,United States
2016-08-01,4.3,Cincinnati
